,arabic,bengali,cantonese,english,french,german,hausa,hindustani,italian,japanese,javanese,korean,malay,mandarin_chinese,marathi,persian,portuguese,punjabi,russian,spanish,swahili,tamil,telugu,turkish,vietnamse,wu_chinese
Angola,,,,,,1471625.43,2391481.09,,,,,,,,,,,,,,3460467.97,,,,,
ArabicMiddleEast,,,,44504.28,,,,,,,,,,,,9580134.84,,,163181.53,,,,,,,
ArabicWestAfrica,,,,958274.49,,,369382.75,,,,,,,,,,,,,,534496.04,,,,,
AustrailiaNewZealand,220317.50,,220317.50,,43507.00,,,,220317.50,,,,3186288.18,440635.00,,1954637.67,,,,,,,,,8837.54,
BalkanPeninsula,,,,24870.48,,,,,,,,,,,,,,,15089656.64,,,,,82829.56,,
Brazil,,,,52246182.89,,,,,,,,,,,,,,,,,,,,,,
BritishIsles,,,,,10724041.23,4259504.65,,14650139.92,132465.52,,,16276.00,,,28935.19,4994057.19,,,37072101.88,,,,,,,
Canada,340052.74,,340052.74,9027842.72,,340052.74,,,340052.74,19260.52,,,,,,,,340052.74,,340052.74,,,,,,
Caribbean,,,,162723.85,10273.51,,,,,,,,,2033.38,,,508648.73,,,,,,,,,
CentralAmerica,,,,202613.04,6503491.76,9648.24,,,,,,,,,,,1997816.64,,,99243421.04,,,,,,
ChineseAsia,,,,297077.07,,,,,,763492.44,,1830929.00,162799473.70,846172376.50,578638.16,,5369.69,,,,,,,,451543.31,
EastAfrica,36251755.73,,,281489.16,,,32004692.88,,,,,,,,,,2664354.55,,,,,,,72089.35,,
EasternEurope,34000650.29,,,1600003.68,100000.23,18535494.66,,,576431.82,,,,,,,21731944.87,,,,,,,,591647.92,,
FrenchEurope,,,,10139.06,,124164.45,,,15208.59,,,,,,,,81112.48,,,,,,,,,
FrenchWestAfrica,,,,789625.00,,,,,,,,,,,,,,,,,45040686.25,,,,,
GermanEurope,,,,391245.45,1799729.07,,,,626352.75,,,,,,,,312996.36,,63036561.11,156498.18,,,,167268.08,,
IndianSubcontinent,,19000000.00,,425285288.90,,,,,,,,,36929420.73,,,,,,,,,77480261.46,12000000.00,,536610.29,
ItalianEurope,,,,17683390.08,18580967.79,4209054.49,,,,,,,,,3000000.00,,828810.60,,,,,,,15353.58,,
Japan,,,,34000485.25,,,,,,,,700000.00,,,,,,,,,,,,,,3166667.896
Korea,,,,19684470.63,,,,,,41995.98,,,,,,,,,,,,,,,,1833332.104
Madagascar,,,,,,,2164554.05,,,,,,,,,,,,,,3132105.03,,,,,
Melanesia,,,,15281.70,2362.95,,,1952206.26,,,,,1084816.36,,3855.76,,,,,,,,,,3008.86,
MiddleAfrica,11539249.36,,,8738.80,,,,,,,,,,,,,171280.48,,,646750.72,,,,,,
NordicCountries,,,,8514408.58,,2026625.52,,,,,,,,,,,,,17638498.83,,,,,,,
NorthAfrica,21781763.53,,,,,,20858943.81,,,,,,,,,15101464.52,,,,,30182846.57,,,46983.97,,
PersianMiddleEast,288031.67,,,1440158.35,,,,,,,,,,,,,,,,,,,,23827.54,,
Portugal,,,,2806984.70,2949462.30,,,,,,,,,,,,,,,,,,,,,
RussianAsia,,,,14712860.05,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,1233467.13,,,,,,,,,,,,,,,,,,,
SoutheastAsia,,,203069.28,1523019.60,,,,129488972.90,,,,,,1827623.52,255751.03,,,,,,,,,,,
SouthernAfrica,,,,5223584.32,,,5977478.28,,,,,,,,,,,,,,8649398.14,,,,,
Spain,,,,12365402.51,12993048.55,1471625.43,,,91531.60,,,,,,,,579559.50,,,,,,,,,
SpanishSouthAmerica,,,,1699335.40,,,,,389589.19,,75000.00,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,1660830.87,,,,,,,,,,,,,,,,,,
TurkishMiddleEast,,,,,,,,,,,,,,,,7637760.90,,,,,,,,,,
USA,33064664.10,,,,86313655.64,19552204.39,,67247850.01,608050.28,175251.07,,1700000.00,,,132819.86,,3850050.97,,,40215265.09,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
